Category,Feature,Level,Status,Details
Left Panel,Remove "Venture Management" subtitle,UI,✅ Done,Removed from sidebar below the Injini logo
Left Panel,INJINI logo in white text,UI,✅ Done,Changed SVG fill from #333333 to #FFFFFF
Left Panel,Cohort tabs (1-4 + Overall),UI,✅ Done,"Replaced old tabs (Dashboard, Job Indicators, etc.) with Cohort 1, 2, 3, 4 & Overall"
Left Panel,Remove Export Report,UI,✅ Done,Export Report button removed from sidebar
Left Panel,Tab isolation (only selected tab data visible),UI,✅ Done,JavaScript switchTab() ensures only active cohort data is shown
Business Health,Sales Growth - Individual,Individual,✅ Done,"5-tier formula based on months of data (<6, 6-11, 12-17, 18-23, 24+)"
Business Health,Sales Growth - Cohort,Cohort,✅ Done,Median of individual sales growth values per cohort
Business Health,Sales Growth - Program,Program,✅ Done,"Time-Weighted Average (TWA): Σ(Cohort Growth × Exposure) / Σ(Exposure)"
Business Health,Sales Growth % Table with Red Flags,Individual,✅ Done,"Per-fellow table showing Sales Growth %, Profit Growth %, and red flag badges for negative growth"
Business Health,Sales Graph - Individual,Individual,✅ Done,"Line graph per fellow, X=Month, Y=Sales, with linear trend line"
Business Health,Sales Graph - Cohort,Cohort,✅ Done,"Cohort Total dashed line (sum of all fellows), with linear trend line"
Business Health,Sales Graph - Program,Program,✅ Done,"Overall tab line chart with numbered months (Month 1, 2, 3... up to 36), with trend line"
Business Health,Profit Growth - Individual,Individual,✅ Done,"Same 5-tier formula as Sales but with ABS(denominator) for losses"
Business Health,Profit Growth - Cohort,Cohort,✅ Done,Median of individual profit growth values per cohort
Business Health,Profit Growth - Program,Program,✅ Done,"Time-Weighted Average (TWA)"
Business Health,Profit Graph - Individual,Individual,✅ Done,"Line graph per fellow, X=Month, Y=Profit, with linear trend line"
Business Health,Profit Graph - Cohort,Cohort,✅ Done,"Cohort Total dashed line, with linear trend line"
Business Health,Profit Graph - Program,Program,✅ Done,"Overall tab line chart with numbered months, with trend line"
Jobs,Total Jobs - Individual,Individual,✅ Done,Total jobs reported at current month per fellow in Jobs table
Jobs,Total Jobs - Cohort,Cohort,✅ Done,Sum per cohort shown in Overall tab cohort summary cards
Jobs,Total Jobs - Program,Program,✅ Done,Sum across all cohorts in Program Jobs Summary
Jobs,New Jobs Created - Individual,Individual,✅ Done,"New Jobs = Current - Baseline, shown per fellow in Jobs table"
Jobs,New Jobs Created - Cohort,Cohort,✅ Done,Per cohort calculation
Jobs,New Jobs Created - Program,Program,✅ Done,Sum of new jobs across all cohorts
Jobs,Percent Change Jobs - Individual,Individual,✅ Done,"(Current - Previous) / Previous, shown per fellow in Jobs table"
Jobs,Percent Change Jobs - Cohort,Cohort,✅ Done,"(ΣCurrent - ΣBaseline) / ΣBaseline, shown in cohort summary cards"
Jobs,Percent Change Jobs - Program,Program,✅ Done,"(ΣCurrent - ΣBaseline) / ΣBaseline, shown in Program Jobs Summary"
Jobs,New Female Jobs - Individual,Individual,✅ Done,Current female - Baseline female per fellow
Jobs,New Female Jobs - Cohort,Cohort,✅ Done,Per cohort sum
Jobs,New Female Jobs - Program,Program,✅ Done,Sum across all cohorts in Program Jobs Summary
Jobs,Youth Jobs - Individual,Individual,✅ Done,Current youth - Baseline youth per fellow
Jobs,Youth Jobs - Cohort,Cohort,✅ Done,Per cohort sum
Jobs,Youth Jobs - Program,Program,✅ Done,Sum across all cohorts in Program Jobs Summary
Jobs,Jobs Graph - Individual,Individual,✅ Done,"Clustered bar chart: Total, Female, Youth jobs by month"
Jobs,Jobs Graph - Cohort,Cohort,✅ Done,Aggregated across fellows within the cohort
Investments,Investment Table - Individual,Individual,✅ Done,"Table with Fellow Name, Rand Value, Investor Name, Month"
Investments,Investment Table - Cohort,Cohort,✅ Done,"Sorted by fellows alphabetically, same details"
Investments,Collapsible Toggle,UI,✅ Done,"Table starts hidden; summary bar shows count + total value; click to expand/collapse"
Reach,Total Subscribers - Individual,Individual,✅ Done,"Line graph showing Total Learners + Total Educators by month (monthly snapshot, not cumulative)"
Reach,Total Subscribers - Cohort,Cohort,✅ Done,Summed across cohort
Reach,Total Subscribers - Program,Program,✅ Done,Summed across all cohorts in Overall tab
Reach,New Subscribers Reached - Individual,Individual,✅ Done,"Cumulative area chart of new Learners + Educators"
Reach,New Subscribers Reached - Red Flag,Individual,✅ Done,Red flag if reaching less than 8000 new learners per year
Reach,New Subscribers Reached - Cohort,Cohort,✅ Done,Summed across cohort
Reach,New Subscribers Reached - Program,Program,✅ Done,Summed across all cohorts
Reach,Total Schools - Individual,Individual,✅ Done,"Line graph with SA Schools and Q1-3 Schools as separate lines"
Reach,Total Schools - Cohort,Cohort,✅ Done,Aggregated across cohort
Reach,Total Schools - Program,Program,✅ Done,Summed across all cohorts in Overall tab
Learner Disaggregation,Disaggregation Table - Individual,Individual,✅ Done,"Table per fellow: Female, Rural, Disability counts"
Learner Disaggregation,Disaggregation - Cohort,Cohort,✅ Done,Aggregated at cohort level
Learner Disaggregation,Disaggregation - Program,Program,✅ Done,Aggregated at program level in Overall tab
Overall Tab,Cross-Cohort Sales Comparison,Program,✅ Done,"Line chart comparing all cohorts with numbered months (1-36), with program trend line"
Overall Tab,Cross-Cohort Profit Comparison,Program,✅ Done,"Line chart comparing all cohorts with numbered months (1-36), with program trend line"
Overall Tab,Cohort Summary Cards,Program,✅ Done,"Cards showing Ventures, Sales, Profit, Jobs, Jobs % Change, Subscribers, Growth metrics per cohort"
Overall Tab,Program KPI Overview,Program,✅ Done,"Total Sales, Net Jobs, Median Sales Growth, Median Profit Growth"
Overall Tab,Program Jobs Summary,Program,✅ Done,"Total Jobs, New Jobs, % Change, Female Jobs, Youth Jobs, New Female, New Youth"
Overall Tab,Program Reach Summary,Program,✅ Done,"Total Subscribers, New Subscribers, Total Schools, Disaggregation"
AI Chat,Injini AI Chat Interface,UI,✅ Done,Floating chat button with AI-powered Q&A about the dashboard data
